"# 文本key","文本value"
"Attitude_Source_Desc_38","<AttiSource>Reputation</>"
"Attitude_Source_Desc_52","<AttiSource>Got something they like in Exchange</>"
"Attitude_Source_Desc_53","<AttiSource>Share likes</>"
"Attitude_Source_Desc_55","<AttiSource>Spar</>"
"Attitude_Source_Desc_56","<AttiSource>Received Skill</>"
"Attitude_Source_Desc_57","<AttiSource>Received Inner Kungfu</>"
"Attitude_Source_Desc_58","<AttiSource>Received Ability</>"
"Attitude_Source_Desc_59","<AttiSource>Unpleasant</>"
"Attitude_Source_Desc_60","<AttiSource>Unpleasant（Affection）</>"
"Attitude_Source_Desc_61","<AttiSource>Mighty Murderous</>"
"Attitude_Source_Desc_62","Each layer of Murderous Look increases the damage."
"Attitude_Source_Desc_63","<AttiSource>Murderous Look</>"
"Attitude_Source_Desc_SP_1","<AttiSource>Loveworm</>"
"Attitude_Source_Desc_SP_2","<AttiSource>Occupied bed</>"
"Attitude_Source_Desc_SP_3","<AttiSource>Betrayed the original sect</>"
"Attitude_Source_Desc_SP_4","<AttiSource>Bloody Feud</>"
"Attitude_Source_Desc_SP_5","<AttiSource>Bloodline</>"
"Attitude_Source_Desc_SP_6","<AttiSource>Intimacy</>"
"Attitude_Source_Desc_SP_7","<AttiSource>Dear Friends</>"
"Attitude_Source_Desc_SP_8","<AttiSource>Enmity</>"
"Attitude_Source_Desc_SP_9","<AttiSource>Unreserved mentorship</>"
"Attitude_Source_Desc_SP_10","<AttiSource>Taming Ability</>"
"Attitude_Source_Desc_SP_2000","<AttiSource>Exchange</>"
"Attitude_Source_Desc_SP_2001","<AttiSource>Cured Ailment</>"
"Attitude_Source_Desc_SP_2002","<AttiSource>Got blackmailed</>"
"Attitude_Source_Desc_SP_2003","<AttiSource>Shown mercy</>"
"Attitude_Source_Desc_SP_2004","<AttiSource>Got healed</>"
"Attitude_Source_Desc_SP_2005","<AttiSource>Got knocked out</>"
"Attitude_Source_Desc_SP_2006","<AttiSource>Got disabled</>"
"Attitude_Source_Desc_SP_2007","<AttiSource>Kungfu got destroyed</>"
"Attitude_Source_Desc_SP_2008","<AttiSource>Maltreated them</>"
"Attitude_Source_Desc_SP_2009","<AttiSource>Helped build</>"
"Attitude_Source_Desc_SP_2010","<AttiSource>Battle</>"
"Attitude_Source_Desc_SP_2011","<AttiSource>Invited for entertainment</>"
"Attitude_Source_Desc_SP_2012","<AttiSource>Shared a toast</>"
"Attitude_Source_Desc_SP_2013","<AttiSource>Bad example</>"
"Attitude_Source_Desc_SP_2014","<AttiSource>Cede</>"
"Attitude_Source_Desc_SP_2016","<AttiSource>Identity</>"
"Attitude_Source_Desc_SP_2017","<AttiSource>Cured their Pos Rel</>"
"Attitude_Source_Desc_SP_2018","<AttiSource>Cured their Neg Rel</>"
"Attitude_Source_Desc_SP_2019","<AttiSource>Spared their Pos Rel</>"
"Attitude_Source_Desc_SP_2020","<AttiSource>Spared their Neg Rel</>"
"Attitude_Source_Desc_SP_2021","<AttiSource>Taught Kungfu to their Pos Rel</>"
"Attitude_Source_Desc_SP_2022","<AttiSource>Taught Kungfu to their Neg Rel</>"
"Attitude_Source_Desc_SP_2023","<AttiSource>Crippled their Pos Rel</>"
"Attitude_Source_Desc_SP_2024","<AttiSource>Crippled their Neg Rel</>"
"Attitude_Source_Desc_SP_2025","<AttiSource>Deprived their Neg Rel's Kungfu</>"
"Attitude_Source_Desc_SP_2026","<AttiSource>Deprived their Pos Rel's Kungfu</>"
"Attitude_Source_Desc_SP_2027","<AttiSource>Took their Pos Rel's head</>"
"Attitude_Source_Desc_SP_2028","<AttiSource>Took their Neg Rel's head</>"
"Attitude_Source_Desc_SP_2029","<AttiSource>Looted their Pos Rel</>"
"Attitude_Source_Desc_SP_2030","<AttiSource>Looted their Neg Rel</>"
"Attitude_Source_Desc_SP_2031","<AttiSource>Looted</>"
"Attitude_Source_Desc_SP_2032","<AttiSource>Offer Money</>"
"Attitude_Source_Desc_SP_2033","<AttiSource>Offered money to their Pos Rel</>"
"Attitude_Source_Desc_SP_2034","<AttiSource>Offered money to their Neg Rel</>"
"Attitude_Source_Desc_SP_2035","<AttiSource>Wonders</>"
"Attitude_Source_Desc_SP_2038","<AttiSource>Auction</>"
"Attitude_Source_Desc_SP_2039","<AttiSource>Feed</>"
"Attitude_Source_Desc_SP_2040","<AttiSource>Little Enmity</>"
"Attitude_Source_Desc_SP_2041","<AttiSource>Grudge</>"
"Attitude_Source_Desc_SP_2042","<AttiSource>Feud</>"
"Attitude_Source_Desc_SP_2043","<AttiSource>Fellow Disciples</>"
"Attitude_Source_Desc_SP_2044","<AttiSource>Master and Retainer</>"
"Attitude_Source_Desc_SP_2045","<AttiSource>Challenge sect members</>"
"Attitude_Source_Desc_SP_2046","<AttiSource>Executed their Pos Rel</>"
"Attitude_Source_Desc_SP_2047","<AttiSource>Executed their Neg Rel</>"
"Attitude_Source_Desc_SP_2048","<AttiSource>Influence Diplomacy</>"
"Attitude_Source_Desc_SP_2049","<AttiSource>Salary Delay</>"
"Attitude_Source_Desc_SP_2050","<AttiSource>Captive wanted criminal</>"
"Attitude_Source_Desc_SP_2051","<AttiSource>Resentment Toxin</>"
"Attitude_Source_Desc_SP_2052","<AttiSource>Disaffection Pill</>"
"Attitude_Source_Desc_SP_2053","<AttiSource>Transcendence</>"
"Attitude_Source_Desc_SP_2054","<AttiSource>Humanoid Pole Dislike</>"
"Attitude_Source_Desc_SP_2055","<AttiSource>Violate Rules</>"
"Attitude_Source_Desc_SP_3000","<AttiSource>Won Debate</>"
"Attitude_Source_Desc_SP_99998","<AttiSource>End Relation</>"
"Attitude_Source_Desc_SP_99999","<AttiSource>End Relation</>"
"#没有态度",""
"none_attitude","Unacquainted"
"relation_murder_desc","Killed by {0}：{1}！"
"relation_murder_died_dec","The murderer is dead！"
"#打听位置",""
"relation_query_position","Inquire Location"
"relation_mark_position","Mark Location"
"relation_delete_relation","End Relation"
"relation_free_monster","Release"
"relation_query_other_relation","View Relation"
"relation_call_back_anima","Summon"
"relation_employeemanagement","Manage Retainers"
"relation_resolve_relation","Resolve Grudges"
"#能力",""
"ability_name_210000","Technique"
"ability_name_210001","Surprise Move"
"ability_name_210002","Changeable Move"
"ability_name_210003","Omni Move"
"ability_name_210004","DEF Move"
"ability_name_210005","Qinggong"
"ability_name_210006","Forge"
"ability_name_210007","Slight of Hand"
"ability_name_210008","Wall Walking"
"ability_name_210009","Leechcraft"
"ability_name_210010","Weave"
"ability_name_210011","Crafting"
"ability_name_210012","Establishment"
"ability_name_210013","Tame"
"ability_name_210014","Cooking"
"ability_name_210015","Wine Art"
"ability_name_210016","Music"
"ability_name_210017","Chess Skill"
"ability_name_210018","Calligraphy"
"ability_name_210019","Painting"
"ability_name_210020","Poetry"
"ability_name_210021","Fly On Snow"
"ability_name_210022","Fly On Water"
"ability_name_210023","Transfiguration"
"ability_name_210024","Iron Bone"
"ability_name_210025","Palm Usage"
"ability_name_210026","Fist Usage"
"ability_name_210027","Kick Usage"
"ability_name_210028","Weapon Usage"
"ability_name_210029","Concealed Weapon Usage"
"ability_name_210030","Beg"
"ability_name_210031","Sneak"
"ability_name_210032","Basic Debate"
"ability_name_210033","Rethink"
"ability_name_210034","Empower Spirits"
"ability_name_210035","Contemplation"
"ability_name_210036","Open Mind"
"ability_level_0","Unlearned"
"#等级描述「最大等级为6」",""
"ability_level_1","Beginner"
"ability_level_2","Competent"
"ability_level_3","Proficient"
"ability_level_4","Master"
"ability_level_5","Grandmaster"
"ability_level_6","Perfected"
"ability_level_7","Otherworldly"
"ability_level_8","Transcendent"
"ability_level_9","Matchless"
"#能力界面",""
"li_lian","Lineage"
"reset_li_lian","Reset Lineage"
"argument_collect","Argument Collection"
"level_up","Advance"
"level_up_cost","<AbDesc>「Advance」 costs {0} Lineage Points.</>"
"exp_point_desc","<TipGreen>「Lineage」 </><TipGray>Leveling an Ability will grant Lineage Points. </>\\n<TipGray>Lineage Points can be passed on to descendants. </>"
"ability_level_desc_0","Unlearned"
"ability_level_desc_1","Beginner"
"ability_level_desc_2","Competent"
"ability_level_desc_3","Proficient"
"ability_level_desc_4","Master"
"ability_level_desc_5","Grandmaster"
"ability_level_desc_6","Perfected"
"ability_magtitude_point","Ability Points： {0}"
"#能力描述",""
"desc_ability_none_start","<NengLiJinJie>It hasn’t been learned yet， it cannot be advanced.</>"
"desc_reach_ability_lock","<TipGreen> 「Bottleneck Reached」</>"
"#武技描述",""
"desc_210000_fun_1","<AbDesc>The higher your Technique level， the faster you restore Energy when meditating.</>\\n<AbDesc>「Omni Move」 Creates 1 Omni Move each turn.</>"
"desc_210000_fun_2","<AbDesc>「Combo Move」 When you connect 4  of the same Move， draw 1 Move of the same type.</>"
"desc_210000_fun_3","<AbDesc>「Surprise Move」 When you connect 3 different Moves， draw 1 Move.</>"
"desc_210000_fun_4","<AbDesc>「DEF Move」 Creates 1 DEF Move each turn.</>"
"desc_210000_fun_5","<AbDesc>[Technique] Grandmaster</>"
"desc_210000_fun_6","<AbDesc>Enhances Omni Move， Combo Move， Changeable Move， Surprise Move， DEF Move.</>"
"desc_210000_up_1","<NengLiJinJie>「Getting Started」 Practice by chopping wood， mining， and gathering</>"
"desc_210000_up_2","<NengLiJinJie>「Competent」 Practice by chopping wood， mining， and gathering</>"
"desc_210000_up_3","<NengLiJinJie>「Proficient」 Practice by chopping wood， mining， and gathering</>"
"desc_210000_up_4","<NengLiJinJie>「Master」 Practice through meditation</>"
"desc_210000_up_5","<NengLiJinJie>「Grandmaster」 Practice by meditating</>"
"desc_210000_up_6","<NengLiJinJie>「Perfected」 Learn from someone who perfected this ability</>"
"#轻功描述",""
"desc_210005_fun_1","<AbDesc>Owns an extraordinary jumping ability</>"
"desc_210005_fun_2","<AbDesc>Increases Running SPD by 5%.</>"
"desc_210005_fun_3","<AbDesc>Increases Running SPD by 5%.</>\\n<AbDesc>Enhances jumping and dodging ability， double jump.</>"
"desc_210005_fun_4","<AbDesc>Reduces Energy consumption by 15% when running with Qinggong.</>"
"desc_210005_fun_5","<AbDesc>Increases Running SPD by 5%.</>\\n<AbDesc>Greatly enhances jumping and dodging ability， triple jump.</>"
"desc_210005_fun_6","<AbDesc>Restores Energy when running based on your Techniques.</>"
"desc_210005_up_1","<NengLiJinJie>「Getting Started」 Practice by running</>"
"desc_210005_up_2","<NengLiJinJie>「Competent」 Practice by jumping</>"
"desc_210005_up_3","<NengLiJinJie>「Proficient」 Acquire at the Enlightenment Stone in Eagle Hunt Platform</>"
"desc_210005_up_4","<NengLiJinJie>「Master」 Practice by jumping</>"
"desc_210005_up_5","<NengLiJinJie>「Grandmaster」 Acquire at the Enlightenment Stone in Mirror Lake Stonewoods</>"
"desc_210005_up_6","<NengLiJinJie>「Perfected」 Practice by jumping</>"
"# 锻造描述",""
"desc_210006_fun_1","<AbDesc>Can forge Crude Gear at the Furnace</>"
"desc_210006_fun_2","<AbDesc>Has a chance to forge Refined Gear</>"
"desc_210006_fun_3","<AbDesc>Has a chance to obtain 1 additional Gear of the same type when Forging.</>"
"desc_210006_fun_4","<AbDesc>Has a chance to make Legendary Gear.</>"
"desc_210006_fun_5","<AbDesc>Increases the chance of making Refined and Legendary Gear.</>"
"desc_210006_fun_6","<AbDesc>Crafted Gear gains 1 more modifier.</>"
"desc_210006_up_1","<NengLiJinJie>「Getting Started」 Learn by dismantling weapons at the furnace</>"
"desc_210006_up_2","<NengLiJinJie>「Competent」 Join Crimson Vale to learn advanced Forging</>"
"desc_210006_up_3","<NengLiJinJie>「Proficient」 Join Crimson Vale to learn advanced Forging</>"
"desc_210006_up_4","<NengLiJinJie>「Master」 Join Crimson Vale to learn advanced Forging</>"
"desc_210006_up_5","<NengLiJinJie>「Grandmaster」 Join Crimson Vale to learn advanced Forging</>"
"desc_210006_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Ou Family」</>"
"# 奇术描述",""
"desc_210007_fun_1","<AbDesc>Well versed in mechanism and locks. Success rate increases with skill level.</>"
"desc_210007_fun_2","<AbDesc>Increases Lockpick SPD.</>"
"desc_210007_fun_3","<AbDesc>You can unlock storage chests.</>"
"desc_210007_fun_4","<AbDesc>You can unlock Weapon Shelves and Bookcases.</>"
"desc_210007_fun_5","<AbDesc>Increases stealing success rate.</>"
"desc_210007_fun_6","<AbDesc>Chance for perfect Geomancy without gaining Misdeed or being detected. The chance is based on Geomancy level.</>"
"desc_210007_up_1","<NengLiJinJie>「Getting Started」 Train lockpicking and stealing</>"
"desc_210007_up_2","<NengLiJinJie>「Competent」 Train lockpicking and stealing</>"
"desc_210007_up_3","<NengLiJinJie>「Proficient」 Train lockpicking and stealing</>"
"desc_210007_up_4","<NengLiJinJie>「Master」 Train lockpicking and stealing</>"
"desc_210007_up_5","<NengLiJinJie>「Grandmaster」 Train lockpicking and stealing</>"
"desc_210007_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Liu Family」</>"
"# 壁虎游墙描述",""
"desc_210008_fun_1","<AbDesc>Owns the ability to climb cliffs</>"
"desc_210008_fun_2","<AbDesc>Increases Climbing SPD by 10%.</>"
"desc_210008_fun_3","<AbDesc>Increases Climbing SPD by 10%.</>"
"desc_210008_fun_4","<AbDesc>Increases Climbing SPD by 10%.</>"
"desc_210008_fun_5","<AbDesc>Increases Climbing SPD by 10%.</>"
"desc_210008_fun_6","<AbDesc>You can restore Energy when climbing.</>"
"desc_210008_up_1","<NengLiJinJie>「Getting Started」 Multiple jumping practices</>"
"desc_210008_up_2","<NengLiJinJie>「Competent」 Cliff climbing practice </>"
"desc_210008_up_3","<NengLiJinJie>「Proficient」 Cliff climbing practice</>"
"desc_210008_up_4","<NengLiJinJie>「Master」 Cliff climbing practice</>"
"desc_210008_up_5","<NengLiJinJie>「Grandmaster」 Cliff climbing practice</>"
"desc_210008_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Liu Family」</>"
"# 医术描述",""
"desc_210009_fun_1","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_2","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_3","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_4","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_5","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_6","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_up_1","<NengLiJinJie>「Getting Started」 Learn through healing or acquiring ailments</>"
"desc_210009_up_2","<NengLiJinJie>「Competent」 Make potions at the Crucible</>"
"desc_210009_up_3","<NengLiJinJie>「Proficient」 Make potions at the Crucible</>"
"desc_210009_up_4","<NengLiJinJie>「Master」 Make potions at the Crucible</>"
"desc_210009_up_5","<NengLiJinJie>「Grandmaster」 Make potions at the Crucible</>"
"desc_210009_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Ji Family」</>"
"# 织造描述",""
"desc_210010_fun_1","<AbDesc>Can make Crude Gear at the Loom</>"
"desc_210010_fun_2","<AbDesc>Has a chance to make Refined Gear</>"
"desc_210010_fun_3","<AbDesc>Chance of Refined Gear increased</>"
"desc_210010_fun_4","<AbDesc>Chance of Refined Gear increased</>"
"desc_210010_fun_5","<AbDesc>Produces Refined Gear or better</>"
"desc_210010_fun_6","<AbDesc>Has a chance to make Legendary Gear</>"
"desc_210010_up_1","<NengLiJinJie>「Getting Started」 Learn by dismantling DEF Gear at the furnace</>"
"desc_210010_up_2","<NengLiJinJie>「Competent」 Craft Gear at the Loom</>"
"desc_210010_up_3","<NengLiJinJie>「Proficient」 Craft Gear at the Loom</>"
"desc_210010_up_4","<NengLiJinJie>「Master」 Craft Gear at the Loom</>"
"desc_210010_up_5","<NengLiJinJie>「Grandmaster」 Craft Gear at the Loom</>"
"desc_210010_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Hu Family」</>"
"# 制作描述",""
"desc_210011_fun_1","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_2","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_3","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_4","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_5","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_6","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_up_1","<NengLiJinJie>「Getting Started」 Craft Minor Items in Backpack</>"
"desc_210011_up_2","<NengLiJinJie>「Competent」 Craft Items</>"
"desc_210011_up_3","<NengLiJinJie>「Proficient」 Craft Items</>"
"desc_210011_up_4","<NengLiJinJie>「Master」 Craft Items</>"
"desc_210011_up_5","<NengLiJinJie>「Grandmaster」 Craft Items</>"
"desc_210011_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Mo Family」</>"
"desc_210011_0","<AbDesc>Under development. Stay tuned！</>"
"desc_210011_0_lilian","<AbDesc>Under development. Stay tuned！</>"
"# 营造描述",""
"desc_210012_fun_1","<AbDesc>Allows free establishment of any building and unlocks Building module.</>"
"desc_210012_fun_2","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_3","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_4","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_5","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_6","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_up_1","<NengLiJinJie>「Getting Started」 Build corresponding buildings</>"
"desc_210012_up_2","<NengLiJinJie>「Competent」 Build corresponding buildings</>"
"desc_210012_up_3","<NengLiJinJie>「Proficient」 Build corresponding buildings</>"
"desc_210012_up_4","<NengLiJinJie>「Master」 Build corresponding buildings</>"
"desc_210012_up_5","<NengLiJinJie>「Grandmaster」 Build corresponding buildings</>"
"desc_210012_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Gongshu Family」</>"
"# 驯化描述",""
"desc_210013_fun_1","Fainted animals can be Tamed\\n<TDName>[「Horses」</> can be ridden or harnessed to a carriage]\\n<TDName>[「Eagles」</> can enter Hawk Eye mode and help track targets]\\n<TDName>[「Monkeys」</> can beg and deliver resources]\\n<TDName>[「Snakes」</> can pick locks and use poison]\\n<TDName>[「Martens」</> can help find treasure]\\n<TDName>[「Chickens」</> can lay eggs]"
"desc_210013_up_1","<NengLiJinJie>「Getting Started」 Learn by crafting simple traps</>"
"# 烹饪描述",""
"desc_210014_fun_1","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_2","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_3","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_4","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_5","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_6","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_up_1","<NengLiJinJie>「Getting Started」 Practice by cooking at the Bonfire</>"
"desc_210014_up_2","<NengLiJinJie>「Competent」 Practice cooking at the Bonfire</>"
"desc_210014_up_3","<NengLiJinJie>「Proficient」 Practice cooking at the Bonfire</>"
"desc_210014_up_4","<NengLiJinJie>「Master」 Practice cooking at the Bonfire</>"
"desc_210014_up_5","<NengLiJinJie>「Grandmaster」 Practice cooking at the Bonfire</>"
"desc_210014_up_6","<NengLiJinJie>「Perfected」 Learn from a Sage of this ability</>"
"# 酒道描述",""
"desc_210015_fun_1","<AbDesc>Increases alcohol tolerance to 5.</>"
"desc_210015_fun_2","<AbDesc>Increases alcohol tolerance to 10.</>"
"desc_210015_fun_3","<AbDesc>Increases alcohol tolerance to 15.</>"
"desc_210015_fun_4","<AbDesc>Increases alcohol tolerance to 20.</>"
"desc_210015_fun_5","<AbDesc>Increases alcohol tolerance to 25.</>"
"desc_210015_fun_6","<AbDesc>Increases alcohol tolerance to 30.</>"
"desc_210015_up_1","<NengLiJinJie>「How to Begin」 Learn through drinking practice</>"
"desc_210015_up_2","<NengLiJinJie>「Competent」 Practice by drinking</>"
"desc_210015_up_3","<NengLiJinJie>「Proficient」 Practice by drinking</>"
"desc_210015_up_4","<NengLiJinJie>「Master」 Practice by drinking</>"
"desc_210015_up_5","<NengLiJinJie>「Grandmaster」 Practice by drinking</>"
"desc_210015_up_6","<NengLiJinJie>「Perfected」 Practice by drinking</>"
"# 音律描述",""
"desc_210016_fun_1","<AbDesc>Playing grants Music EXP</>"
"desc_210016_fun_2","<AbDesc>Playing grants Music EXP， unlocking more advanced scores</>"
"desc_210016_fun_3","<AbDesc>Playing grants Music EXP， unlocking more advanced scores</>"
"desc_210016_fun_4","<AbDesc>Playing grants Music EXP， unlocking more advanced scores</>"
"desc_210016_fun_5","<AbDesc>Playing grants Music EXP， unlocking more advanced scores</>"
"desc_210016_fun_6","<AbDesc>Sage in Music. </>"
"desc_210016_up_1","<NengLiJinJie>「To Begin」 Practice by playing the Zheng at the Music House</>"
"desc_210016_up_2","<NengLiJinJie>「Competent」 Practice by playing the Zheng at the Music House</>"
"desc_210016_up_3","<NengLiJinJie>「Proficient」 Practice by playing the Zheng at the Music House</>"
"desc_210016_up_4","<NengLiJinJie>「Master」 Practice by playing the Zheng at the Music House</>"
"desc_210016_up_5","<NengLiJinJie>「Grandmaster」 Practice by playing the Zheng at the Music House</>"
"desc_210016_up_6","<NengLiJinJie>「Perfected」 Said to be the secret lore of the 「Shi Family」</>"
"desc_210017_fun_1","<AbDesc>Chess Skill</>"
"desc_210017_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210018_fun_1","<AbDesc>Calligraphy</>"
"desc_210018_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210019_fun_1","<AbDesc>Painting</>"
"desc_210019_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210020_fun_1","<AbDesc>Poetry</>"
"desc_210020_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"# 踏雪无痕描述",""
"desc_210021_fun_1","<AbDesc>Each point in Fly On Snow increases Load by 10.</>"
"desc_210021_fun_2",""
"desc_210021_fun_3",""
"desc_210021_fun_4",""
"desc_210021_fun_5",""
"desc_210021_fun_6",""
"desc_210021_up_1","<NengLiJinJie>「To Begin」 Move with Max Load</>"
"desc_210021_up_2","<NengLiJinJie>「Competent」 Move with full Load</>"
"desc_210021_up_3","<NengLiJinJie>「Proficient」 Move with full Load</>"
"desc_210021_up_4","<NengLiJinJie>「Master」 Move with full Load</>"
"desc_210021_up_5","<NengLiJinJie>「Grandmaster」 Move with full Load</>"
"desc_210021_up_6","<NengLiJinJie>「Perfected」 Move with full Load</>"
"desc_210022_fun_1","<AbDesc>Move more swiftly on water.</>"
"desc_210022_fun_2","<AbDesc>Increases Swimming SPD by 15%.</>"
"desc_210022_fun_3","<AbDesc>Increases Swimming SPD by 15%.</>"
"desc_210022_fun_4","<AbDesc>Decreases Energy consumption for swimming by 15%.</>"
"desc_210022_fun_5","<AbDesc>Increases Swimming SPD by 15%.</>"
"desc_210022_fun_6","<AbDesc>You can restore Energy when swimming.</>"
"desc_210022_up_1","<NengLiJinJie>「How to Begin」 Jumping practice on water</>"
"desc_210022_up_2","<NengLiJinJie>「Competent」 Jumping practice on water</>"
"desc_210022_up_3","<NengLiJinJie>「Proficient」 Jumping practice on water</>"
"desc_210022_up_4","<NengLiJinJie>「Master」 Jumping practice on water</>"
"desc_210022_up_5","<NengLiJinJie>「Grandmaster」 Jumping practice on water</>"
"desc_210022_up_6","<NengLiJinJie>「Perfected」 Jumping practice on water</>"
"# 易容描述",""
"desc_210023_fun_1","<AbDesc>Unavailable yet</>"
"desc_210023_fun_2","<AbDesc>Unavailable yet</>"
"desc_210023_fun_3","<AbDesc>Unavailable yet</>"
"desc_210023_fun_4","<AbDesc>Unavailable yet</>"
"desc_210023_fun_5","<AbDesc>Unavailable yet</>"
"desc_210023_fun_6","<AbDesc>Unavailable yet</>"
"desc_210023_up_1","<NengLiJinJie>「How to Begin」 Unavailable yet</>"
"desc_210023_up_2","<NengLiJinJie>「Competent」 Unavailable yet</>"
"desc_210023_up_3","<NengLiJinJie>「Proficient」 Unavailable yet</>"
"desc_210023_up_4","<NengLiJinJie>「Master」 Unavailable yet</>"
"desc_210023_up_5","<NengLiJinJie>「Grandmaster」 Unavailable yet</>"
"desc_210023_up_6","<NengLiJinJie>「Advance to Sage」 Unavailable yet</>"
"# 铜皮铁骨描述",""
"desc_210024_fun_1","<AbDesc>Each point in Iron Bone increases Vigor by 10.</>"
"desc_210024_fun_2","<AbDesc>Resistance to Move DMG 2</>"
"desc_210024_fun_3","<AbDesc>Resistance to Counter 2</>"
"desc_210024_fun_4","<AbDesc>Resistance to Move DMG 3</>"
"desc_210024_fun_5","<AbDesc>Cold and Heat Resistance +1</>"
"desc_210024_fun_6","<AbDesc>Restore 1% Vigor after a fight.</>"
"desc_210024_up_1","<NengLiJinJie>「To Begin」 Punch resistance practice</>"
"desc_210024_up_2","<NengLiJinJie>「Competent」 Punch resistance practice</>"
"desc_210024_up_3","<NengLiJinJie>「Proficient」 Punch resistance practice</>"
"desc_210024_up_4","<NengLiJinJie>「Master」 Punch resistance practice</>"
"desc_210024_up_5","<NengLiJinJie>「Grandmaster」 Punch resistance practice</>"
"desc_210024_up_6","<NengLiJinJie>「Perfected」 Punch resistance practice</>"
"# 掌法运用描述",""
"desc_210025_fun_1","<AbDesc>Gain 1 Palm ATK for each point in Palm Usage.</>"
"desc_210025_fun_2","<AbDesc>Gain 1 additional Palm Move.</>"
"desc_210025_fun_3","<AbDesc>When a Palm Surprise Move is triggered， increase Skill DMG by 15% next turn.</>"
"desc_210025_fun_4","<AbDesc>Increase Palm Skill DMG by 15%.</>"
"desc_210025_fun_5","<AbDesc>Reduce Combo Move requirement by 1.</>"
"desc_210025_fun_6","<AbDesc>After casting a Palm Skill， reduce opponent Defense Level by 1 for one turn.</>"
"desc_210025_up_1","<NengLiJinJie>「To Begin」 Use Palm Moves in battle</>"
"desc_210025_up_2","<NengLiJinJie>「Competent」 Use Palm Moves in battle</>"
"desc_210025_up_3","<NengLiJinJie>「Proficient」 Use Palm Moves in battle</>"
"desc_210025_up_4","<NengLiJinJie>「Master」 Use Palm Moves in battle</>"
"desc_210025_up_5","<NengLiJinJie>「Grandmaster」 Use Palm Moves in battle</>"
"desc_210025_up_6","<NengLiJinJie>「Perfected」 Use Palm Moves in battle</>"
"# 拳法运用描述",""
"desc_210026_fun_1","<AbDesc>Gain 1 Fist ATK for each point in Fist Usage.</>"
"desc_210026_fun_2","<AbDesc>Gain 1 additional Fist Move.</>"
"desc_210026_fun_3","<AbDesc>When a Fist Surprise Move is triggered， increase Skill DMG by 15% next turn.</>"
"desc_210026_fun_4","<AbDesc>Increase Fist Skill DMG by 15%.</>"
"desc_210026_fun_5","<AbDesc>Reduce Combo Move requirement by 1.</>"
"desc_210026_fun_6","<AbDesc>After casting a Fist Skill， increase Defense Level by 1 for one turn.</>"
"desc_210026_up_1","<NengLiJinJie>「To Begin」 Use Fist Moves</>"
"desc_210026_up_2","<NengLiJinJie>「Competent」 Use Fist Moves</>"
"desc_210026_up_3","<NengLiJinJie>「Proficient」 Use Fist Moves</>"
"desc_210026_up_4","<NengLiJinJie>「Master」 Use Fist Moves</>"
"desc_210026_up_5","<NengLiJinJie>「Grandmaster」 Use Fist Moves</>"
"desc_210026_up_6","<NengLiJinJie>「Perfected」 Use Fist Moves</>"
"# 腿法运用描述",""
"desc_210027_fun_1","<AbDesc>Gain 1 Kick ATK for each point in Kick Usage.</>"
"desc_210027_fun_2","<AbDesc>Gain 1 additional Kick Move.</>"
